#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
211,Aroldis Chapman,BOS,5,4,3.40,59,0,12,13,4,59.2,255,43,24,22,5,36,1,2,87
212,José Alvarado,PHI,3,3,3.44,57,0,5,13,3,57.0,242,47,24,22,5,26,2,2,65
213,Tyler Holton,DET,4,3,3.23,59,1,6,14,1,68.1,276,58,27,24,7,16,1,3,60
214,Garrett Whitlock,BOS,3,3,3.73,46,1,4,10,1,58.2,242,55,26,24,7,14,0,2,59
215,Hunter Harvey,KCR,3,3,3.71,56,0,2,20,3,59.2,248,54,27,25,6,18,1,3,63
216,Kevin Ginkel,ARI,5,3,3.38,59,0,6,15,4,61.2,256,55,25,23,6,19,1,3,66
217,Michael Soroka,WSN,4,8,4.55,35,14,0,1,1,103.2,447,95,57,52,14,44,1,6,98
218,Ryan Pressly,CHC,3,3,3.48,56,0,23,5,6,58.0,241,53,24,22,5,17,1,2,60
219,J.T. Ginn,ATH,4,4,4.48,25,12,0,1,0,76.2,332,79,41,38,9,26,1,5,60
220,Jakob Junis,CLE,3,3,4.06,38,6,0,2,1,72.2,301,71,36,33,10,16,1,3,66
221,Fernando Cruz,NYY,3,3,3.73,60,1,1,17,2,61.1,258,48,28,25,7,29,1,3,85
222,Blake Treinen,LAD,5,3,3.31,52,0,6,16,4,54.1,223,47,22,20,6,16,1,3,60
223,Erik Miller,SFG,3,3,3.55,58,2,1,14,3,58.1,249,45,25,23,5,32,1,2,72
224,A.J. Minter,NYM,4,3,3.36,53,0,2,15,4,52.2,216,44,21,20,6,17,1,2,60
225,Trevor Megill,MIL,3,2,3.53,54,0,24,5,4,57.0,238,49,24,22,7,20,2,2,68
226,Jack Kochanowicz,LAA,4,7,4.68,24,14,0,1,0,92.0,399,101,52,48,12,24,1,7,54
227,Cal Quantrill,MIA,6,9,4.86,23,23,0,0,0,129.2,573,137,76,70,18,50,0,8,95
228,Drew Thorpe,CHW,5,6,4.60,17,17,0,0,0,94.1,403,91,52,48,15,34,1,3,73
229,Will Vest,DET,3,3,3.41,60,0,2,13,3,63.0,262,57,26,24,6,19,1,3,62
230,Brant Hurter,DET,3,2,3.71,34,1,0,2,1,48.1,201,46,22,20,4,12,1,2,41
231,Hayden Wesneski,HOU,5,5,4.31,39,11,0,2,1,93.2,395,87,49,45,14,31,1,4,87
232,Tyler Rogers,SFG,3,3,3.68,66,0,2,21,2,67.2,284,69,30,28,6,14,1,4,49
233,Justin Slaten,BOS,4,3,3.84,58,0,5,17,4,64.2,272,59,30,28,7,22,1,3,68
234,Ben Joyce,LAA,3,2,3.36,55,0,12,15,3,58.1,248,47,24,22,5,27,1,4,69
235,Pete Fairbanks,TBR,3,3,3.45,51,0,23,3,4,52.1,217,43,22,20,5,20,1,2,58
236,Randy Vásquez,SDP,4,5,4.60,23,13,0,1,0,78.0,341,82,43,40,11,26,1,5,59
237,Michael McGreevy,STL,3,3,3.80,30,4,0,1,0,53.0,222,53,24,22,5,13,1,2,42
238,Bryan Hudson,MIL,4,2,3.26,52,0,2,13,3,60.1,249,49,24,22,6,22,1,3,64
239,Dylan Lee,ATL,4,2,3.20,56,0,0,13,2,60.0,245,52,23,21,7,17,2,1,69
240,Dedniel Núñez,NYM,3,1,3.34,42,0,1,11,1,48.1,199,40,19,18,5,17,1,2,57
241,Edwin Uceta,TBR,3,2,3.68,55,0,10,14,2,64.0,266,53,28,26,8,24,1,4,72
242,Johan Oviedo,PIT,4,5,4.39,27,10,0,0,0,74.0,321,70,39,36,8,32,1,5,65
243,Alex Vesia,LAD,4,3,3.45,57,0,1,14,2,57.0,238,44,24,22,7,26,2,2,72
244,Adrian Morejon,SDP,3,3,3.62,56,0,1,13,1,59.1,249,54,26,24,6,20,1,2,62
245,Patrick Corbin,,4,7,5.04,17,16,0,0,0,86.2,379,97,53,49,14,27,1,3,66
246,Jack Leiter,TEX,4,6,4.96,29,15,0,1,0,95.2,417,90,57,53,15,43,1,6,97
247,Yimi García,TOR,3,3,3.73,54,0,6,17,4,55.2,229,47,25,23,7,17,2,3,63
248,Tim Herrin,CLE,4,2,3.33,57,0,0,14,1,57.2,242,48,23,21,5,23,1,3,61
249,Shinnosuke Ogasawara,WSN,2,3,4.49,30,10,0,0,0,70.2,305,73,38,35,9,23,1,3,56
250,Brady Basso,ATH,3,2,3.95,33,3,0,2,0,49.1,206,46,24,22,6,14,1,2,47
251,Ian Hamilton,NYY,2,2,3.52,48,0,2,13,1,54.2,231,48,23,21,5,22,1,3,59
252,Ian Anderson,ATL,6,4,4.48,20,14,0,1,0,76.1,334,76,41,38,9,33,1,2,65
253,Jackson Jobe,DET,5,5,4.42,27,18,0,0,0,108.2,462,102,58,53,15,40,1,4,90
254,Tony Gonsolin,LAD,7,5,4.44,29,14,0,0,0,91.0,383,83,49,45,14,31,1,4,79
255,David Bednar,PIT,3,4,4.00,58,0,21,4,5,59.1,251,53,29,26,7,22,2,3,62
256,Kyle Hart,SDP,4,4,4.54,25,13,0,1,0,85.1,367,84,47,43,12,31,1,4,70
257,Shawn Armstrong,TEX,3,3,4.13,58,1,1,9,1,63.1,268,60,32,29,8,21,1,3,62
258,David Robertson,,3,3,3.33,42,0,4,10,5,47.0,196,38,19,17,5,19,1,2,58
259,Matt Brash,SEA,3,2,3.16,36,0,3,7,2,37.1,158,30,14,13,3,17,1,2,48
260,Porter Hodge,CHC,3,3,3.61,56,0,10,15,4,62.1,265,51,27,25,5,30,1,3,70
261,AJ Smith-Shawver,ATL,4,4,4.30,29,9,0,1,0,67.0,285,59,35,32,10,29,1,2,70
262,Jose A. Ferrer,WSN,3,2,3.88,58,0,6,17,2,60.0,255,58,28,26,5,19,1,3,50
263,Evan Phillips,LAD,3,2,3.42,48,0,4,9,2,49.1,202,42,20,19,5,15,1,2,55
264,Kevin Kelly,TBR,3,2,3.55,51,0,0,10,2,54.0,223,50,23,21,5,12,1,4,47
265,Lance McCullers Jr.,HOU,3,2,3.93,17,7,0,1,0,46.1,199,43,22,20,5,20,0,2,44
266,Anthony Bender,MIA,4,3,3.83,56,0,5,15,4,56.1,239,52,26,24,5,20,1,3,58
267,Tanner Banks,PHI,3,3,3.87,57,0,1,9,2,64.2,271,60,30,28,8,20,1,3,64
268,Tristan Beck,SFG,2,2,3.95,37,2,0,3,0,54.0,227,53,26,24,7,15,1,2,46
269,Kenley Jansen,LAA,3,3,3.83,53,0,20,3,4,54.2,228,46,25,23,7,21,1,2,63
270,Andrew Nardi,MIA,4,3,3.81,55,0,3,13,3,55.1,232,47,25,23,7,22,1,2,69
271,Noah Schultz,CHW,1,2,4.06,6,6,0,0,0,32.0,137,31,16,15,4,10,0,2,31
272,Reed Garrett,NYM,5,4,3.84,57,0,2,14,4,61.2,265,54,29,26,7,29,2,3,73
273,Tomoyuki Sugano,BAL,6,6,4.60,22,22,0,0,0,124.2,530,130,69,64,21,31,1,6,91
