Rank,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
289,Germán Márquez,SDP,4,7,5.23,23,18,0,0,0,100.2,440,110,64,58,17,36,1,4,74
290,Justin Topa,MIN,3,3,4.00,59,0,5,14,3,61.1,262,61,30,27,6,19,2,3,51
291,Andrew Kittredge,BAL,4,3,3.72,55,0,5,17,3,56.1,233,52,25,23,7,15,1,2,56
292,Jovani Morán,BOS,3,2,3.88,49,0,0,7,1,52.1,223,47,24,23,5,23,1,2,55
293,Sawyer Gipson-Long,DET,2,2,4.14,23,3,0,3,0,38.2,161,36,19,18,5,10,0,2,35
294,Jake Irvin,WSN,5,7,4.87,27,18,0,0,0,109.0,469,111,64,59,18,36,1,4,82
295,Paul Blackburn,NYY,3,4,4.45,47,3,0,6,0,63.1,269,63,34,31,9,20,1,2,54
296,Erik Miller,SFG,3,3,3.55,59,0,3,14,2,59.0,255,50,25,23,5,31,3,3,63
297,Justin Wilson,,2,2,3.77,42,0,0,6,2,40.2,172,37,19,17,5,15,1,1,44
298,José Urquidy,PIT,4,5,4.86,27,14,0,1,0,90.2,390,93,53,49,14,30,0,3,69
299,Brad Keller,PHI,4,4,3.80,57,0,4,17,2,65.1,277,60,30,28,7,24,1,3,60
300,Angel Zerpa,MIL,3,3,3.72,57,0,0,12,2,59.1,251,56,27,25,6,20,1,3,55
301,Yimi García,TOR,3,3,3.79,52,0,4,9,5,53.0,220,44,24,22,7,19,2,3,58
302,Luke Weaver,NYM,4,4,3.92,60,0,5,19,3,67.1,279,59,32,29,10,21,1,2,72
303,Matt Gage,SFG,2,2,3.95,51,0,0,6,1,53.1,228,52,25,23,6,18,1,2,46
304,Caleb Ferguson,CIN,3,3,4.13,57,0,0,11,3,56.0,241,53,28,26,6,22,1,4,53
305,Blake Treinen,LAD,4,4,3.92,56,0,1,15,4,56.1,241,50,27,25,7,23,3,3,61
306,Taylor Rogers,MIN,3,3,4.03,57,0,14,7,2,57.1,245,52,28,26,7,24,1,3,59
307,JP Sears,SDP,3,4,4.46,23,8,0,1,0,57.2,242,55,31,29,10,16,1,3,50
308,Mark Leiter Jr.,ATH,4,5,4.15,63,0,6,15,4,62.2,269,58,31,29,8,24,1,4,67
309,Charlie Morton,,4,4,4.88,12,10,0,0,0,51.2,229,50,31,28,8,24,0,4,53
310,Eduard Bazardo,SEA,3,3,3.73,60,0,1,10,0,64.0,266,55,29,27,8,21,1,3,65
311,Erik Sabrowski,CLE,2,3,3.74,58,0,2,17,1,59.1,256,47,27,25,6,33,1,3,71
312,Jordan Wicks,CHC,1,2,4.07,14,3,0,1,0,28.2,122,28,14,13,3,9,0,1,25
313,Tanner Gordon,COL,3,5,5.43,26,9,0,1,0,63.2,276,73,42,38,12,16,1,2,48
314,Danny Coulombe,BOS,2,1,3.68,42,0,0,4,1,41.1,172,36,18,17,5,15,1,1,41
315,Justin Wrobleski,LAD,3,3,4.29,29,4,0,3,0,53.1,226,51,28,25,7,18,1,2,48
316,Tyler Kinley,ATL,4,3,4.15,59,0,2,13,2,59.2,253,52,30,28,8,24,2,2,63
317,Clarke Schmidt,NYY,2,1,3.88,12,3,0,1,0,27.1,113,24,13,12,3,9,0,1,27
318,A.J. Puk,ARI,2,2,3.51,30,0,4,5,2,31.1,130,27,13,12,4,10,1,2,36
319,Hoby Milner,CHC,3,3,3.90,60,0,0,13,2,61.1,260,60,29,27,7,18,2,3,52
320,Christian Scott,NYM,2,2,4.01,21,3,0,1,0,32.2,135,30,16,15,4,9,0,1,31
321,Luis Medina,ATH,4,5,4.65,37,8,0,1,0,77.2,341,74,44,40,10,36,2,5,70
322,Riley O'Brien,STL,3,3,3.77,60,0,15,13,5,62.2,271,56,29,26,6,28,1,5,63
323,Kenley Jansen,DET,4,3,3.97,56,0,22,2,3,56.2,235,48,27,25,8,20,1,2,57
324,Tony Santillan,CIN,3,3,4.14,65,0,5,19,3,66.1,285,59,33,30,9,29,2,4,69
325,Mason Englert,TBR,3,2,4.11,54,0,0,8,1,62.0,261,59,31,28,8,18,1,2,57
326,Thomas White,MIA,1,2,4.21,6,6,0,0,0,29.2,129,26,15,14,3,16,0,1,30
327,Ryan Bergert,KCR,2,2,4.59,23,9,0,1,0,60.0,259,58,33,31,8,24,1,2,51
328,Eric Lauer,TOR,4,3,4.19,38,3,0,2,0,57.2,242,54,29,27,9,19,1,2,55
329,Yennier Cano,BAL,3,4,3.85,56,0,2,17,4,55.2,238,53,26,24,6,20,1,2,52
330,Josh Sborz,TEX,2,3,4.13,46,0,0,7,2,48.1,205,44,24,22,6,19,1,2,49
331,John Schreiber,KCR,3,3,4.09,63,0,1,18,3,61.1,261,58,30,28,7,22,1,3,56
332,Jonathan Cannon,CHW,4,7,4.95,29,13,0,1,0,90.2,395,95,54,50,15,32,1,4,68
333,Ben Joyce,LAA,2,2,3.69,41,0,9,9,5,43.0,182,36,19,18,4,19,0,3,47
334,Justin Martinez,ARI,1,2,3.36,23,0,2,3,1,23.2,102,18,10,9,2,13,1,2,29
335,Dietrich Enns,BAL,3,3,4.19,51,0,0,10,1,60.0,256,60,30,28,8,20,2,2,55
336,Robert Stephenson,LAA,3,3,4.00,53,0,10,10,3,53.1,220,46,26,24,8,17,2,2,58
337,Luis García,NYM,3,2,3.93,54,0,0,11,2,56.0,240,53,27,25,5,21,2,3,50
338,Juan Mejia,COL,3,3,4.55,61,0,3,14,3,64.1,282,61,35,32,8,29,2,5,65
339,Pierce Johnson,CIN,3,4,4.18,58,0,1,13,3,59.0,251,54,30,27,9,23,1,2,64
340,Jakob Junis,TEX,3,2,4.01,54,0,0,7,1,61.2,257,59,30,27,8,16,1,3,53
341,Brenan Hanifee,DET,2,3,3.92,51,0,0,10,1,55.2,237,57,26,24,5,16,1,2,41
342,Alek Manoah,LAA,3,5,4.82,15,15,0,0,0,80.1,354,78,47,43,13,36,0,6,68
343,River Ryan,LAD,2,2,4.48,12,7,0,1,0,40.2,176,39,22,20,6,16,0,2,34
344,Erick Fedde,CHW,4,7,5.00,21,16,0,0,0,95.2,415,98,58,53,15,37,1,3,68
345,Gage Jump,ATH,2,2,4.44,6,6,0,0,0,31.0,133,30,17,15,5,11,0,1,27
346,Taijuan Walker,PHI,5,7,5.07,37,17,0,1,1,111.2,489,118,68,63,19,41,1,5,78
347,Brandon Williamson,CIN,3,4,4.66,32,6,0,1,0,64.1,277,63,36,33,10,24,0,3,55
348,Sam Moll,CIN,2,2,4.31,45,0,0,5,1,43.0,184,39,22,21,5,18,1,2,42
349,Jordan Romano,LAA,3,4,4.41,59,0,5,12,3,59.0,250,54,31,29,9,22,2,3,62
350,Mason Montgomery,PIT,2,3,3.98,57,0,2,12,2,59.2,257,54,29,26,7,26,1,2,64
351,Keaton Winn,SFG,1,2,4.13,20,2,0,1,0,30.0,128,30,15,14,3,9,0,1,26
352,Seranthony Domínguez,CHW,3,4,3.92,59,0,21,6,5,59.1,252,49,28,26,7,28,1,3,64
353,Anthony Bender,MIA,3,3,3.89,60,0,2,17,3,60.1,257,55,28,26,6,23,1,3,56
354,Brock Stewart,LAD,2,1,3.91,33,0,0,8,2,33.2,141,29,16,15,4,13,1,2,39
355,Yoendrys Gómez,TBR,3,2,4.30,36,4,0,1,0,59.1,253,53,31,28,8,24,0,3,58
356,Kyle Wright,CHC,2,2,4.66,18,4,0,0,0,41.2,182,40,23,22,5,18,0,2,37
357,Andrew Chafin,MIN,2,3,4.03,47,0,0,5,2,46.1,202,42,23,21,5,23,1,2,49
358,Josiah Gray,WSN,4,8,5.37,18,18,0,0,0,104.0,455,104,67,62,18,44,1,5,90
359,Jordan Leasure,CHW,3,4,4.08,61,0,7,14,5,61.2,260,52,30,28,9,26,1,2,69
360,Carlos Estévez,KCR,4,4,4.17,62,0,29,2,5,63.2,268,58,32,29,8,22,3,3,57
361,Ryan Gusto,MIA,3,3,4.67,30,4,0,1,0,49.2,214,50,28,26,7,17,0,2,44
362,Victor Vodnik,COL,4,4,4.37,59,0,17,7,4,63.0,278,62,33,31,7,31,2,2,60
363,Justin Lawrence,PIT,3,3,4.04,54,0,1,12,3,57.1,250,52,28,26,5,27,2,4,56
364,Quinn Mathews,STL,2,3,4.41,8,8,0,0,0,40.2,182,38,22,20,5,24,0,2,36
365,Hunter Gaddis,CLE,3,3,3.81,62,0,5,24,3,65.2,273,58,30,28,9,20,1,3,64
366,Keider Montero,DET,3,4,4.48,26,5,0,1,0,56.1,241,56,30,28,8,19,0,2,47
367,George Klassen,LAA,2,3,4.62,16,6,0,1,0,39.2,174,38,22,20,5,18,0,2,36
368,Mitchell Parker,WSN,3,4,4.62,31,5,0,1,0,56.0,239,57,31,29,8,19,0,1,43
369,Josh White,MIA,2,2,3.99,36,0,0,1,0,39.2,168,35,19,18,4,17,1,2,41
370,Kyle Hurt,LAD,2,2,4.11,18,3,0,1,0,35.2,153,32,18,16,5,16,0,1,36
371,Jason Foley,SFG,2,1,3.63,25,0,0,1,1,25.2,108,25,11,10,2,7,1,1,22
372,Kai-Wei Teng,HOU,2,2,4.47,27,3,0,1,0,42.1,185,39,23,21,5,18,0,4,43
373,Ian Hamilton,ATL,2,2,3.91,43,0,0,5,1,45.1,194,41,21,20,5,20,1,2,46
374,Clayton Beeter,WSN,2,3,3.95,58,0,15,11,4,61.1,265,51,29,27,7,32,1,3,69
375,Kevin Kelly,TBR,2,2,3.95,41,0,0,5,3,42.2,178,41,20,19,5,11,1,3,37
376,Carson Whisenhunt,SFG,2,2,4.34,12,4,0,1,0,29.0,125,29,15,14,4,11,0,1,24
377,Spencer Turnbull,,2,3,4.87,8,6,0,0,0,35.0,154,36,21,19,5,15,0,2,27
378,Evan Sisk,PIT,2,2,3.92,47,0,0,6,0,47.2,208,45,23,21,4,21,1,3,46
379,Tyler Alexander,TEX,3,4,4.64,51,2,1,5,1,69.2,295,71,39,36,11,19,2,2,58
380,Cade Povich,BAL,1,1,4.28,12,3,0,1,0,24.0,102,22,12,11,3,9,0,1,24
