#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
108,Bryson Stott,PHI,141,518,574,132,93,25,4,11,71,55,46,2,98,3,5,1,24,6,0.255
109,Jorge Soler,LAA,129,473,546,113,61,23,0,29,70,78,61,1,138,6,3,0,1,0,0.238
110,Masyn Winn,STL,143,566,615,142,99,26,4,12,70,59,38,0,110,3,5,3,16,4,0.251
111,Eugenio Suárez,ARI,144,534,604,124,74,26,1,23,69,83,54,1,174,9,5,1,1,1,0.232
112,Xavier Edwards,MIA,134,517,576,143,113,24,4,2,68,40,46,2,84,2,4,7,31,6,0.277
113,Christian Walker,HOU,146,550,622,129,76,24,1,29,77,83,59,2,139,8,5,1,5,2,0.235
114,Lars Nootbaar,STL,121,426,492,105,67,20,1,16,61,56,60,2,101,2,3,1,7,2,0.246
115,Kyle Schwarber,PHI,149,548,657,119,62,22,0,34,87,95,100,3,189,6,3,0,4,2,0.217
116,Brenton Doyle,COL,143,544,596,138,87,26,5,21,80,66,40,1,172,5,4,3,26,6,0.253
117,Luis García Jr.,WSN,136,516,555,139,96,26,2,15,64,67,31,2,91,2,5,1,14,5,0.270
118,Tyler O'Neill,BAL,115,419,477,98,55,18,1,24,63,67,48,2,146,7,3,0,7,2,0.234
119,Salvador Perez,KCR,143,531,585,133,82,26,0,24,63,86,31,3,128,10,6,0,0,0,0.250
120,Christian Yelich,MIL,120,450,522,119,79,23,2,15,69,61,64,4,113,3,3,1,21,5,0.263
121,Zack Gelof,ATH,139,524,575,117,71,24,2,19,71,56,42,0,185,5,3,2,21,5,0.223
122,Brendan Donovan,STL,135,504,569,135,96,24,3,11,66,59,49,2,79,11,4,1,5,2,0.267
123,Willson Contreras,STL,132,476,559,117,74,22,1,20,71,67,59,2,138,17,3,1,6,2,0.246
124,Jonah Heim,TEX,102,354,387,78,51,15,1,12,39,42,27,1,75,2,3,0,1,0,0.221
125,Parker Meadows,DET,131,487,540,112,69,22,5,16,66,54,44,1,131,4,4,1,17,4,0.229
126,Marcell Ozuna,ATL,148,555,626,142,84,28,0,30,82,90,62,2,153,4,4,0,1,1,0.256
127,Mark Vientos,NYM,145,552,606,128,76,25,0,27,68,81,44,1,179,5,4,1,1,0,0.232
128,Keibert Ruiz,WSN,124,449,485,105,72,21,0,13,44,56,25,1,56,6,4,1,2,1,0.235
129,Andrew Vaughn,CHW,142,546,600,140,86,29,0,25,69,81,40,0,120,9,5,1,1,0,0.256
130,Steven Kwan,CLE,147,568,640,152,119,26,4,4,71,52,59,2,59,5,5,2,16,5,0.267
131,Tommy Edman,LAD,131,486,533,120,81,23,3,13,70,53,36,1,95,5,4,2,24,6,0.247
132,Jo Adell,LAA,122,427,470,96,54,19,2,22,61,59,34,1,141,6,2,0,13,4,0.225
133,Christopher Morel,TBR,126,463,518,107,60,21,1,24,67,69,45,1,142,5,4,1,11,4,0.231
134,Josh Lowe,TBR,126,460,508,110,66,24,3,17,65,57,41,3,148,2,4,1,22,5,0.240
135,Nico Hoerner,CHC,125,481,527,130,101,22,3,4,62,45,32,0,60,9,4,1,24,7,0.270
136,Nick Gonzales,PIT,113,425,466,111,72,25,3,11,53,52,28,0,105,7,4,1,5,1,0.261
137,Jake Meyers,HOU,112,386,425,93,60,19,2,13,51,46,29,0,101,6,3,1,8,2,0.240
138,Kyle Higashioka,TEX,81,264,287,54,32,10,0,11,29,34,18,0,83,1,2,1,1,1,0.206
139,Cody Bellinger,NYY,134,518,575,127,79,26,3,19,68,66,47,3,99,4,6,0,14,3,0.245
140,Trevor Story,BOS,112,416,466,97,61,20,2,14,59,50,36,2,133,5,4,1,19,6,0.234
141,Joey Bart,PIT,97,331,367,77,51,14,1,11,39,42,26,0,103,7,2,0,1,0,0.233
142,Connor Norby,MIA,133,500,549,123,78,26,3,16,62,62,40,0,158,5,3,0,11,2,0.245
143,George Springer,TOR,137,525,592,129,87,23,2,18,73,65,53,0,112,7,4,1,14,4,0.246
144,James Wood,WSN,137,519,587,133,86,28,3,17,74,65,60,2,163,4,4,0,17,5,0.257
145,Dylan Moore,SEA,104,327,379,67,39,14,2,13,50,36,39,0,112,9,2,1,23,7,0.206
146,Maikel Garcia,KCR,130,489,536,128,93,25,3,7,65,48,38,0,96,2,4,3,22,7,0.262
147,Travis d'Arnaud,LAA,72,242,270,56,37,11,0,9,29,32,18,0,69,4,2,0,1,0,0.234
