Rank,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
139,Brandon Lowe,PIT,124,473,528,113,67,24,1,21,62,69,46,1,136,5,4,0,4,1,.238
140,Isaac Paredes,HOU,117,427,495,100,63,18,0,18,58,58,55,0,82,9,4,0,1,0,.233
141,Jeff McNeil,ATH,132,479,537,121,81,25,2,12,60,55,43,2,70,8,4,3,3,1,.253
142,Sean Murphy,ATL,89,301,345,67,41,13,0,13,39,43,33,1,95,8,2,0,0,0,.222
143,Ozzie Albies,ATL,140,534,588,131,84,27,2,18,67,68,42,1,89,5,6,1,9,3,.245
144,Joey Ortiz,MIL,132,470,514,113,80,19,3,10,55,50,33,1,90,4,3,4,13,4,.241
145,Jake Meyers,HOU,117,413,459,103,71,21,1,10,54,44,35,0,95,6,3,2,11,3,.250
146,Nolan Arenado,ARI,134,513,560,130,88,24,1,16,59,70,36,2,75,4,5,1,3,1,.253
147,Bryan Reynolds,PIT,146,563,633,145,96,29,3,17,76,72,56,2,152,8,5,1,6,2,.257
148,Harrison Bader,SFG,123,444,487,106,69,19,3,15,62,50,31,0,119,7,3,1,15,4,.239
149,Carson Kelly,CHC,95,321,364,75,50,13,0,13,41,44,34,0,73,4,3,1,1,0,.235
150,Christian Yelich,MIL,135,505,577,129,86,23,3,18,73,69,64,5,141,4,3,1,16,4,.255
151,Ryan McMahon,NYY,117,415,475,88,54,16,1,17,54,52,54,1,150,3,3,0,4,1,.213
152,Josh Jung,TEX,125,475,513,116,77,23,1,16,56,60,29,0,128,4,3,1,4,1,.245
153,Josh Naylor,SEA,144,543,607,136,91,25,0,20,70,74,51,5,88,6,6,1,13,6,.250
154,Cedric Mullins,TBR,111,400,451,92,55,17,3,17,60,50,41,1,100,4,3,3,21,5,.231
155,Vinnie Pasquantino,KCR,146,563,628,145,89,31,2,24,73,87,52,3,90,6,7,1,1,0,.257
156,Kyle Higashioka,TEX,75,252,274,54,33,11,0,9,27,32,17,0,70,1,2,1,2,1,.214
157,Jared Triolo,PIT,123,436,491,106,74,21,2,9,56,46,46,1,111,4,3,2,12,3,.244
158,Gavin Lux,TBR,110,398,447,100,71,20,3,7,49,43,44,0,95,2,3,0,4,1,.253
159,Colt Keith,DET,121,439,489,111,73,20,5,14,59,54,43,2,103,3,3,0,4,1,.254
160,Xavier Edwards,MIA,135,523,580,143,115,22,4,2,66,41,45,2,80,3,4,5,28,7,.273
161,Ha-Seong Kim,ATL,88,314,356,76,52,13,2,9,45,32,34,1,63,3,3,3,13,4,.243
162,Kyle Stowers,MIA,139,512,577,121,70,25,2,24,68,78,53,2,166,7,4,1,4,1,.236
163,Kerry Carpenter,DET,115,431,473,108,61,20,3,23,60,68,31,1,113,7,3,0,3,1,.250
164,Anthony Volpe,NYY,110,410,450,94,60,20,2,13,54,44,31,0,109,4,4,2,16,4,.230
165,Victor Caratini,MIN,91,310,347,77,53,13,0,10,37,39,27,1,64,6,3,0,1,0,.248
166,Tommy Edman,LAD,109,403,441,99,67,19,2,11,55,46,29,1,75,4,3,2,10,3,.245
167,Spencer Torkelson,DET,147,538,615,123,70,26,1,26,72,81,64,3,158,7,5,0,2,1,.229
168,Eugenio Suárez,CIN,143,533,599,123,66,23,0,34,73,92,50,1,177,10,5,1,2,1,.231
169,Alec Burleson,STL,139,527,578,139,92,25,0,21,66,74,39,1,84,4,6,2,5,2,.263
170,Tyler O'Neill,BAL,90,325,370,76,42,14,1,19,49,51,37,1,104,5,3,0,4,1,.235
171,Dylan Crews,WSN,136,514,564,121,80,23,3,16,66,59,37,1,129,8,4,1,23,6,.236
172,Sal Stewart,CIN,120,440,484,119,76,24,1,18,59,63,35,1,89,4,4,1,6,2,.271
173,Royce Lewis,MIN,122,455,497,107,67,23,1,17,57,57,35,1,105,3,4,1,10,4,.235
174,Victor Scott II,STL,132,459,512,101,74,16,4,8,61,33,37,1,120,7,4,6,32,5,.221
175,Willi Castro,COL,128,466,523,120,82,23,4,12,65,53,40,1,115,11,4,2,16,5,.258
176,Ernie Clement,TOR,139,517,554,131,93,25,3,10,60,54,23,1,60,4,5,5,11,3,.254
177,Matt Wallner,MIN,118,418,481,91,48,20,1,22,61,63,49,1,152,11,3,0,4,1,.219
178,Andrew Vaughn,MIL,129,489,537,125,79,25,0,22,59,79,36,0,105,7,5,1,1,0,.256
179,Chase Meidroth,CHW,124,470,531,118,92,19,2,5,56,39,49,0,79,7,3,2,10,4,.250
180,Jung Hoo Lee,SFG,137,516,569,139,95,33,4,8,67,56,42,1,64,5,5,1,8,2,.269
181,Nick Gonzales,PIT,95,362,395,95,65,20,2,7,43,42,23,1,80,5,3,1,3,1,.262
182,Jesús Sánchez,TOR,104,375,416,92,58,18,1,16,53,50,35,1,100,3,2,1,8,2,.246
183,Hunter Feduccia,TBR,74,229,256,48,33,10,1,4,23,24,24,0,66,1,2,0,0,0,.211
184,Josh Smith,TEX,123,440,503,103,72,20,2,9,56,43,46,1,94,10,3,3,9,3,.234
185,Ryan O'Hearn,PIT,125,453,511,119,81,23,2,13,59,58,48,3,97,5,4,1,4,1,.262
186,Caleb Durbin,BOS,132,473,526,118,86,21,3,9,61,48,32,1,57,13,4,3,19,5,.250
187,Justin Crawford,PHI,107,395,429,105,79,19,2,5,52,36,27,1,89,2,2,4,23,3,.266
188,JJ Wetherholt,STL,120,448,500,107,75,22,2,9,52,46,41,1,93,6,3,1,8,2,.239
189,Dylan Beavers,BAL,100,354,401,85,54,18,2,11,49,41,40,1,95,2,3,1,11,2,.239
190,Luis García Jr.,WSN,123,466,501,123,84,24,1,14,56,61,28,2,81,2,5,1,13,5,.264
