#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
376,Addison Barger,TOR,26,93,104,22,13,5,0,3,12,12,9,0,26,1,1,0,1,0,0.236
377,Austin Martin,MIN,28,95,109,23,17,5,0,1,12,9,12,0,20,2,1,0,3,1,0.246
378,Angel Martínez,CLE,29,115,128,28,19,6,0,3,14,12,10,0,25,1,1,0,2,1,0.239
379,Miguel Rojas,LAD,23,82,89,21,15,4,0,2,10,9,5,0,11,1,1,0,2,0,0.259
380,Andy Ibáñez,DET,45,177,194,43,29,10,1,4,20,19,13,0,40,2,1,1,2,1,0.244
381,Jack Suwinski,PIT,34,124,141,27,16,5,0,5,16,17,15,1,42,1,1,0,3,1,0.219
382,Kyle Farmer,COL,62,230,253,58,40,11,1,6,27,27,15,1,50,5,2,1,4,2,0.253
383,Max Schuemann,ATH,26,88,101,19,14,4,0,2,10,8,10,0,28,2,1,0,3,1,0.215
384,Eloy Jiménez,TBR,28,108,118,29,19,5,0,4,14,16,8,0,24,1,1,0,1,0,0.267
385,Brett Wisely,SFG,34,121,134,28,19,6,0,3,14,13,11,0,32,1,1,0,3,1,0.233
386,David Fry,CLE,41,148,168,36,22,8,0,5,19,20,16,1,39,3,1,0,2,0,0.244
387,Jake Mangum,TBR,28,104,112,27,19,6,0,1,11,11,5,0,23,1,1,0,3,1,0.259
388,Adrian Del Castillo,ARI,28,99,111,24,15,6,0,3,13,13,10,0,27,1,1,0,1,0,0.242
389,Justyn-Henry Malloy,DET,36,128,150,28,18,6,0,4,16,15,19,0,45,2,1,0,1,0,0.223
390,Vaughn Grissom,BOS,16,58,65,15,11,3,0,1,7,7,6,0,12,1,0,0,1,0,0.264
391,Michael Toglia,COL,131,474,536,107,61,19,3,25,63,68,55,2,160,3,4,1,8,2,0.227
392,Nick Allen,ATL,24,85,94,21,15,4,0,1,10,9,7,0,16,1,1,0,2,1,0.249
393,Colby Thomas,ATH,28,103,112,24,14,6,0,4,13,13,6,0,31,2,1,0,2,1,0.237
