"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Justin Anderson","CWS","RP","63.5","66","2","7","4.31","1.41","30","59","31","8","62","0","3","0"
"Cristian Javier","HOU","SP","22.7","24","1","0","4.08","1.23","10","19","9","3","16","1","1","0"
"Kyle Hart","SD","SP","99.9","83","4","0","4.47","1.33","50","98","35","15","31","16","5","1"
"Colin Poche","WSH","RP","55.8","51","3","3","4.18","1.28","26","50","21","8","54","0","3","0"
"Gregory Santos","SEA","RP","56.1","57","3","3","3.27","1.22","20","49","19","4","50","0","2","0"
"Yuki Matsui","SD","RP","57.8","65","3","1","3.65","1.24","23","47","25","7","56","0","2","0"
"Jack Leiter","TEX","SP,RP","101.7","103","5","0","4.62","1.36","52","93","45","15","31","16","6","0"
"Noah Schultz","CWS","SP","32.8","30","1","0","4.08","1.29","15","31","11","4","6","6","2","0"
"Chris Paddack","MIN","SP","111.5","101","6","0","4.28","1.27","53","113","29","16","41","15","6","0"
"Ian Hamilton","NYY","RP","59.2","64","3","1","3.54","1.26","23","51","24","6","54","0","3","0"
"Trent Thornton","SEA","RP","66.1","65","3","1","3.75","1.20","28","59","20","9","62","0","3","0"
"Adrian Morejon","SD","RP","61.7","64","3","1","3.62","1.24","25","55","21","7","59","0","3","0"
"Louis Varland","MIN","SP,RP","62.4","61","3","0","4.09","1.28","28","61","19","8","47","3","3","0"
"Jose A. Ferrer","WSH","RP","61.0","51","3","3","3.83","1.29","26","59","20","6","57","0","3","0"
"Kyle Gibson","","SP","130.5","110","7","0","4.51","1.38","65","133","48","18","23","23","8","0"
"Taylor Rogers","CIN","RP","61.9","68","3","6","4.14","1.30","28","57","24","9","61","0","3","0"
"Tony Santillan","CIN","RP","57.5","65","3","2","4.26","1.35","27","51","26","7","54","0","3","0"
"Nate Pearson","CHC","RP","56.2","60","3","1","3.92","1.25","24","49","21","7","52","0","3","0"
"Ryan Brasier","CHC","RP","56.8","54","3","2","3.65","1.18","23","51","16","6","55","0","2","0"
"Mark Leiter Jr.","NYY","RP","59.7","71","3","1","3.81","1.22","25","51","22","8","56","0","3","0"
"Erik Miller","SF","SP,RP","62.4","75","3","1","3.51","1.30","24","48","33","5","62","0","3","0"
"Michael Soroka","WSH","SP,RP","105.1","98","5","0","4.43","1.34","52","98","42","15","38","14","7","0"
"Eduard Bazardo","SEA","RP","46.0","47","2","0","3.63","1.21","19","40","16","5","42","0","2","0"
"Ryan Thompson","ARI","RP","63.2","51","4","0","3.74","1.27","26","62","19","6","61","0","3","0"
"Nick Sandlin","TOR","RP","60.0","64","3","0","4.02","1.28","27","50","27","8","59","0","3","0"
"Hoby Milner","TEX","RP","58.9","54","3","0","3.79","1.21","25","56","15","7","56","0","3","0"
"Prelander Berroa","CWS","RP","38.3","41","1","2","4.47","1.50","19","34","24","5","33","0","2","0"
"Tyler Rogers","SF","RP","69.9","51","3","2","3.74","1.22","29","70","15","7","68","0","3","0"
"Albert Suarez","BAL","SP,RP","77.9","68","4","0","4.35","1.32","38","77","25","11","49","5","4","0"
"Joe Mantiply","ARI","RP","58.7","51","3","0","3.76","1.26","25","57","17","6","59","0","3","0"
"Brandon Sproat","NYM","SP","29.3","26","2","0","4.37","1.33","14","28","11","4","6","6","2","0"
"Griffin Canning","NYM","SP","91.2","79","5","0","4.53","1.31","46","88","31","14","34","12","5","0"
"Ian Anderson","ATL","SP","83.5","72","5","0","4.44","1.42","41","83","35","10","22","15","5","0"
"Steven Matz","STL","SP,RP","100.4","87","5","0","4.15","1.30","46","100","31","13","32","16","5","0"
"Angel Perdomo","ATL","RP","50.0","63","3","0","3.74","1.29","21","40","24","6","47","0","3","0"
"Sean Guenther","DET","RP","42.0","34","2","0","3.80","1.26","18","41","12","4","39","0","2","0"
"Tanner Banks","PHI","RP","66.7","65","3","0","3.86","1.25","29","62","21","8","61","0","3","0"
"Landon Knack","LAD","SP","47.9","47","2","0","4.20","1.23","22","44","15","7","30","3","2","0"
"Cade Cavalli","WSH","SP","78.4","74","4","0","4.26","1.32","37","72","32","10","24","13","4","1"
"Brady Basso","ATH","SP","51.7","48","2","0","3.99","1.23","23","49","15","7","37","3","2","0"
"Tommy Kahnle","DET","RP","52.5","53","2","2","3.74","1.29","22","45","23","6","50","0","2","0"
"Gregory Soto","BAL","RP","57.5","64","3","1","3.61","1.29","23","49","25","5","57","0","3","0"
"Eli Morgan","CHC","RP","49.6","47","3","0","4.06","1.23","22","46","15","7","46","0","2","0"
"Javier Assad","CHC","SP","134.3","111","7","0","4.32","1.36","64","130","53","18","36","23","7","0"
"Craig Yoho","MIL","RP","40.8","48","2","0","3.61","1.27","16","34","18","4","40","0","2","0"
"Jonathan Loaisiga","NYY","RP","36.6","30","3","0","3.60","1.24","15","34","11","4","33","0","2","0"
"Matt Waldron","SD","SP","79.8","66","4","0","4.53","1.28","40","79","23","12","20","12","5","0"
"Caleb Thielbar","CHC","RP","52.2","57","3","0","3.80","1.24","22","46","19","7","52","0","3","0"
"Abner Uribe","MIL","RP","44.4","50","2","2","3.66","1.36","18","35","25","4","42","0","2","0"
"Sawyer Gipson-Long","DET","SP","36.8","34","2","0","4.06","1.23","17","35","10","5","23","3","2","0"
"Mitch Spence","ATH","SP,RP","121.7","97","6","0","4.48","1.33","61","125","37","17","27","20","7","0"
"Ryne Stanek","NYM","RP","57.6","64","3","0","3.93","1.29","25","48","26","7","57","0","3","0"
"Jake Cousins","NYY","RP","52.2","62","3","1","3.75","1.27","22","41","25","6","50","0","2","0"
"Paul Blackburn","NYM","SP","104.2","86","6","0","4.43","1.33","51","105","34","14","41","14","5","0"
"Thomas Harrington","PIT","SP","11.9","9","1","0","4.44","1.28","6","12","3","2","3","2","1","0"
"Jorge Alcala","MIN","RP","60.4","63","3","0","4.11","1.27","28","52","24","8","57","0","3","0"
"Chase Dollander","COL","SP","86.2","80","4","0","4.92","1.43","47","87","36","13","17","16","6","0"
"Keegan Thompson","CHC","RP","58.6","61","3","1","3.99","1.31","26","50","26","7","52","0","3","0"
"Danny Young","NYM","RP","53.7","59","3","0","3.80","1.31","23","46","24","5","53","0","3","0"
"Hunter Bigge","TB","RP","51.1","57","2","0","4.10","1.37","23","45","25","7","49","0","2","0"
"Justin Topa","MIN","RP","45.6","40","3","0","3.88","1.31","20","44","16","4","43","0","2","0"
"Ryan Burr","TOR","RP","45.8","53","2","0","3.70","1.22","19","40","16","6","45","0","2","0"
"Mason Montgomery","TB","RP","54.4","55","2","1","4.20","1.32","25","51","21","8","47","0","3","0"
"Victor Vodnik","COL","RP","66.7","62","3","4","4.40","1.47","33","66","32","7","62","0","4","0"
"Erik Swanson","TOR","RP","56.3","55","2","1","4.26","1.29","27","52","20","9","55","0","3","0"
"Slade Cecconi","CLE","SP,RP","51.2","46","2","0","4.25","1.21","24","50","12","8","33","3","3","0"
"Kyle Wright","KC","SP","83.8","72","4","0","4.26","1.34","40","83","29","10","31","12","5","0"
"Landen Roupp","SF","RP","65.7","65","3","0","3.75","1.30","27","58","27","6","39","6","3","0"
"Michel Otanez","ATH","RP","59.0","72","3","0","3.87","1.38","25","48","34","6","57","0","3","0"
"Dennis Santana","PIT","RP","67.0","64","3","3","4.17","1.35","31","62","28","7","64","0","3","0"
"Joe Boyle","TB","SP","53.0","62","2","0","4.31","1.49","25","41","37","6","31","5","3","0"
"Caden Dana","LAA","SP","67.1","58","4","0","4.76","1.35","36","65","25","11","13","13","5","0"
"Michael Grove","LAD","RP","42.4","44","2","0","4.09","1.25","19","39","14","6","37","0","2","0"
"Emilio Pagan","CIN","RP","62.2","64","3","2","4.30","1.26","30","57","21","10","60","0","3","0"
"Colin Rea","CHC","SP","119.4","94","6","0","4.54","1.29","60","121","34","18","29","19","7","0"
"Alec Marsh","KC","SP","103.8","99","5","0","4.58","1.34","53","101","38","15","28","18","7","0"
"Lance McCullers Jr.","HOU","SP","72.9","71","4","0","3.89","1.33","32","66","31","8","26","10","4","0"
"DL Hall","MIL","SP,RP","59.5","63","3","0","4.10","1.34","27","54","26","7","31","6","3","0"
"Spencer Turnbull","","SP,RP","66.4","62","4","0","4.19","1.29","31","62","24","8","14","12","4","0"
"Cody Poteet","CHC","SP","28.7","25","2","0","4.00","1.27","13","27","10","3","22","1","1","0"
"Ryan Feltner","COL","SP","164.9","140","7","0","4.80","1.40","88","172","59","23","30","30","11","0"
"Davis Martin","CWS","SP","122.7","108","6","0","4.52","1.36","62","121","45","18","24","24","9","0"
"John Means","CLE","SP","26.4","21","2","0","3.77","1.13","11","23","7","4","6","5","2","0"
"James Karinchak","CWS","RP","34.3","43","2","0","4.13","1.35","16","27","19","4","34","0","2","0"
"Hurston Waldrep","ATL","SP","27.0","24","2","0","4.53","1.46","14","26","13","3","14","3","2","0"
"Ryan Fernandez","STL","RP","65.4","65","3","1","3.85","1.31","28","60","26","7","62","0","3","0"
"Tink Hence","STL","SP","21.5","19","1","0","4.23","1.29","10","20","7","3","4","4","1","0"
"Angel Chivilli","COL","RP","54.5","49","2","0","4.62","1.40","28","56","20","8","51","0","3","0"
"Logan Henderson","MIL","SP","9.5","10","1","0","4.35","1.19","5","8","3","2","8","0","1","0"
"Luke Little","CHC","RP","37.4","44","2","0","3.31","1.29","14","28","20","3","37","0","2","0"
"Ryan Yarbrough","TOR","RP","34.7","26","2","0","4.30","1.25","17","34","9","5","25","1","2","0"
"Shinnosuke Ogasawara","WSH","SP","67.6","55","2","0","4.71","1.38","35","69","24","10","31","9","2","0"
"German Marquez","COL","SP","142.4","117","7","0","4.72","1.38","75","149","47","21","26","26","10","0"
"Daniel Lynch","KC","RP","55.1","44","3","0","4.33","1.32","26","56","17","7","41","2","3","0"
"Robert Stephenson","LAA","RP","32.1","38","2","0","3.95","1.17","14","27","11","5","31","0","2","0"
"Martin Perez","CWS","SP","142.1","105","6","0","4.60","1.42","73","150","52","20","26","25","10","0"
"Cal Quantrill","MIA","SP","135.9","99","7","0","4.85","1.43","73","143","52","19","25","25","10","0"
"Alex Lange","DET","RP","34.9","39","2","1","3.85","1.36","15","29","19","3","34","0","2","0"
"Will Warren","NYY","SP","60.8","59","3","0","4.13","1.29","28","57","21","8","34","6","3","0"
"Bailey Falter","PIT","SP","124.1","92","6","0","4.56","1.33","63","128","37","18","35","21","8","0"
"Justin Wrobleski","LAD","SP,RP","39.9","35","2","0","4.38","1.33","19","39","14","6","31","1","2","0"
"Noah Cameron","KC","SP","21.2","19","1","0","3.94","1.26","9","20","6","3","18","1","1","0"
"Shawn Armstrong","TEX","SP,RP","64.2","63","3","1","4.06","1.27","29","61","21","8","59","0","3","0"
"Jack Kochanowicz","LAA","SP","92.1","54","4","0","4.74","1.38","49","102","25","12","26","14","6","0"
"Hans Crouse","LAA","RP","53.6","63","3","0","4.11","1.32","24","45","26","8","51","0","3","0"
"Drey Jameson","ARI","RP","43.8","39","2","0","4.19","1.35","20","44","16","5","37","0","2","0"
"Jairo Iriarte","CWS","SP","55.4","48","2","0","4.80","1.47","30","54","27","8","29","6","4","0"
"Matt Manning","DET","SP","41.9","35","2","0","4.13","1.27","19","39","14","5","24","3","2","0"
"Brock Burke","LAA","RP","64.1","63","3","1","4.00","1.29","28","60","23","8","59","0","3","0"
"Andrew Chafin","DET","RP","53.4","59","2","1","3.83","1.33","23","46","25","6","53","0","3","0"
"Richard Fitts","BOS","SP","44.0","34","2","0","4.55","1.34","22","46","13","6","26","4","2","0"
"Colin Holderman","PIT","RP","61.2","61","3","3","3.87","1.31","26","55","25","6","60","0","3","0"
"Daysbel Hernandez","ATL","RP","53.8","62","4","0","3.83","1.34","23","46","27","6","51","0","2","0"
"Brenan Hanifee","DET","RP","39.8","31","2","0","3.81","1.28","17","39","11","4","36","0","2","0"
"Jordan Wicks","CHC","SP","45.6","41","2","0","4.24","1.32","22","44","16","6","18","7","3","0"
"Michael Tonkin","MIN","RP","63.1","63","3","0","4.19","1.30","29","58","24","8","56","0","3","0"
"Chayce McDermott","BAL","SP","44.4","48","2","0","4.15","1.36","20","38","22","6","22","5","2","0"
"Sam Moll","CIN","RP","56.1","56","3","0","4.01","1.32","25","51","24","6","55","0","3","0"
"Kyle Hendricks","LAA","SP","123.2","86","6","0","4.98","1.39","68","134","36","21","23","23","9","0"
"Randy Vasquez","SD","SP","68.6","53","3","0","4.65","1.37","35","71","23","10","22","11","4","0"
"Jalen Beeks","HOU","RP","49.8","45","3","0","4.05","1.36","22","48","19","5","48","0","3","0"
"Adam Mazur","MIA","SP","40.8","31","2","0","4.74","1.37","21","43","13","6","10","8","4","0"
"Jonathan Cannon","CWS","SP","152.1","111","7","0","4.77","1.39","81","158","54","23","30","26","11","0"
"Keaton Winn","SF","SP","36.3","33","2","0","4.01","1.26","16","35","11","4","27","1","2","0"
"Tayler Saucedo","SEA","RP","58.4","55","3","0","3.79","1.32","25","52","25","6","57","0","2","0"
"Matthew Liberatore","STL","SP,RP","76.9","70","4","1","4.10","1.32","35","73","28","9","56","4","4","0"
"Anthony Banda","LAD","RP","57.2","57","3","0","4.07","1.33","26","54","22","7","54","0","2","0"
"Keider Montero","DET","SP","44.0","38","2","0","4.49","1.36","22","43","17","6","22","4","2","1"
"Wandy Peralta","SD","RP","49.4","41","2","1","3.90","1.33","21","45","20","5","49","0","3","0"
"Joey Estes","ATH","SP","110.2","83","5","0","5.01","1.29","61","112","30","22","28","19","8","1"
"Clayton Beeter","NYY","SP,RP","29.1","34","1","0","3.84","1.28","12","23","14","3","27","0","1","0"
"Ian Seymour","TB","SP","33.0","31","2","0","4.17","1.27","15","30","12","5","15","4","2","0"
"James McArthur","KC","RP","34.6","31","2","1","4.16","1.33","16","34","12","4","33","0","2","0"
"JT Chargois","TEX","RP","26.6","24","1","0","4.11","1.31","12","24","11","3","26","0","1","0"
"Drew Thorpe","CWS","SP","94.5","74","5","0","4.57","1.34","48","92","35","14","17","17","7","0"
"Tyler Ferguson","ATH","RP","63.4","68","3","2","4.07","1.35","29","54","31","7","59","0","3","0"
"Collin Snider","SEA","RP","60.8","57","3","2","4.09","1.36","28","57","26","7","58","0","3","0"
"Tayler Scott","HOU","RP","65.0","66","4","1","4.05","1.34","29","58","29","8","61","0","3","0"
"Carmen Mlodzinski","PIT","RP","60.9","55","3","1","4.17","1.36","28","58","25","7","55","0","4","0"
"Scott Barlow","CIN","RP","58.7","64","3","0","3.96","1.31","26","52","25","7","56","0","3","0"
"Trevor Rogers","BAL","SP","45.4","39","2","0","4.41","1.37","22","45","17","6","21","5","2","0"
"Jacob Webb","TEX","RP","63.0","63","3","4","4.21","1.32","29","56","28","8","61","0","3","0"
"Graham Ashcraft","CIN","SP","47.6","39","2","0","4.36","1.34","23","49","15","6","37","1","3","0"
"Spencer Bivens","SF","RP","40.2","31","2","0","4.12","1.33","18","40","13","5","34","0","2","0"
"Elvis Peguero","MIL","RP","57.1","53","3","0","3.90","1.35","25","53","24","5","54","0","3","0"
"Quinn Priester","BOS","SP,RP","30.1","25","2","0","4.16","1.33","14","30","10","3","24","1","2","0"
"Dane Dunning","TEX","SP,RP","73.6","66","4","0","4.31","1.32","35","71","26","10","47","4","4","0"
"Carson Whisenhunt","SF","SP","32.4","32","1","0","4.02","1.33","15","30","13","4","17","4","2","0"
"Drew Smyly","","RP","45.8","44","2","0","4.29","1.30","22","44","16","7","39","1","3","0"
"Emerson Hancock","SEA","SP","54.1","39","2","0","4.61","1.34","28","54","18","8","18","8","3","0"
"Troy Taylor","SEA","RP","45.4","46","2","0","3.89","1.30","20","40","19","5","46","0","2","0"
"Brennan Bernardino","BOS","RP","49.4","50","2","0","3.98","1.33","22","47","19","5","49","0","2","0"
"Logan Evans","SEA","SP,RP","16.1","13","1","0","4.33","1.36","8","15","6","2","8","2","1","0"
"Braxton Ashcraft","PIT","SP","39.2","33","2","0","4.08","1.26","18","39","11","5","25","3","2","0"
"Tristan Beck","SF","SP,RP","54.8","47","3","0","4.08","1.27","25","54","16","7","39","1","3","0"
"John Schreiber","KC","RP","60.4","56","3","1","3.84","1.31","26","56","23","5","59","0","3","0"
"Caleb Ferguson","PIT","RP","56.3","59","3","1","3.70","1.32","23","52","23","5","56","0","3","0"
"Johan Oviedo","PIT","SP","71.3","62","3","0","4.41","1.38","35","68","31","8","28","9","4","0"
"Brusdar Graterol","LAD","RP","21.0","17","1","0","3.25","1.18","8","19","6","1","20","0","1","0"
"Gabe Speier","SEA","RP","52.8","56","2","0","3.74","1.23","22","46","18","6","53","0","2","0"
"Sean Reid-Foley","NYM","RP","32.5","35","2","0","4.08","1.40","15","28","18","4","30","0","1","0"
"Carson Spiers","CIN","SP,RP","46.2","40","2","0","4.87","1.39","25","48","16","8","31","2","3","0"
"Phil Maton","","RP","56.1","55","3","0","4.12","1.28","26","50","21","7","56","0","3","0"
"Bryan Hoeing","SD","RP","58.9","47","3","0","4.11","1.29","27","58","18","7","50","0","3","0"
"Lucas Sims","WSH","RP","56.4","58","3","1","4.50","1.38","28","48","29","8","55","0","4","0"
"Forrest Whitley","HOU","RP","47.3","50","2","0","3.95","1.33","21","42","21","5","44","0","2","0"
"Dakota Hudson","LAA","SP","25.8","17","1","0","4.77","1.49","14","27","11","3","19","1","2","0"
"Erik Sabrowski","CLE","RP","45.8","53","3","0","3.83","1.38","19","39","24","5","43","0","3","0"
"Joe Kelly","","RP","36.5","43","2","0","3.69","1.31","15","30","18","3","36","0","2","0"
"Julian Merryweather","CHC","RP","47.7","52","3","0","3.89","1.29","21","42","20","5","44","0","2","0"
"Walter Pennington","TEX","RP","38.5","36","2","0","3.87","1.34","17","36","16","4","36","0","2","0"
"Brent Headrick","NYY","SP,RP","33.5","34","2","0","4.12","1.26","15","31","11","5","31","0","2","0"
"Patrick Sandoval","BOS","SP","20.7","20","1","0","4.11","1.41","9","20","9","2","7","3","1","0"
"Bryan King","HOU","RP","55.2","56","2","0","3.66","1.30","22","49","23","6","54","0","2","0"
"Pedro Avila","","RP","49.8","48","3","0","4.45","1.38","25","46","23","6","28","1","2","0"
"Emiliano Teodo","TEX","SP","21.3","21","1","0","4.61","1.44","11","19","11","3","16","2","1","0"
"Scott Alexander","COL","RP","53.7","41","3","1","4.09","1.36","24","56","17","5","52","0","3","0"
"Scott Effross","NYY","RP","31.5","27","2","0","3.96","1.27","14","30","10","4","30","0","1","0"
"John Brebbia","DET","RP","52.9","56","3","0","4.12","1.25","24","48","18","8","52","0","3","0"
"Kendall Graveman","ARI","RP","50.6","49","3","0","4.05","1.37","23","47","23","6","49","0","3","0"
"Nick Anderson","STL","RP","36.4","32","2","0","4.35","1.33","18","36","13","5","36","0","2","0"
"Mike Clevinger","CWS","SP","38.5","33","2","3","4.55","1.31","19","38","12","6","30","2","2","0"
"Nick Mears","MIL","RP","60.0","73","3","0","3.84","1.30","26","50","28","7","57","0","3","0"
"Greg Weissert","BOS","RP","61.2","59","3","0","4.05","1.33","28","57","24","7","59","0","3","0"
"Andrew Walters","CLE","RP","45.6","51","2","0","4.01","1.33","20","38","22","6","47","0","2","0"
"Chase Silseth","LAA","SP","50.0","48","2","0","4.34","1.35","24","46","21","7","35","3","3","0"
"Adam Ottavino","BOS","RP","39.9","42","2","0","4.11","1.31","18","36","17","4","39","0","2","0"
"Brandon Young","BAL","SP","28.8","27","2","0","3.99","1.27","13","27","9","4","25","1","1","0"
"Matt Moore","BOS","RP","31.0","29","2","0","4.51","1.40","16","29","14","5","30","0","2","0"
"Yilber Diaz","ARI","SP","49.4","50","3","0","4.18","1.37","23","44","23","6","33","2","2","0"
"Marc Church","TEX","RP","46.9","48","2","0","4.30","1.33","22","43","19","7","44","0","3","0"
"Joe Ross","PHI","SP,RP","58.8","50","3","0","4.40","1.35","29","58","22","8","40","3","3","0"
"Sean Hjelle","SF","RP","66.2","56","3","0","3.99","1.31","29","68","19","7","56","0","3","0"
"Wade Miley","CIN","SP","41.5","28","2","0","4.77","1.41","22","44","15","6","8","8","3","0"
"Bryce Elder","ATL","SP","52.8","43","3","0","4.33","1.38","25","54","19","6","16","8","3","0"
"Cooper Criswell","BOS","SP","32.1","25","2","0","4.41","1.34","16","34","9","4","19","2","2","0"
"Joe Jimenez","ATL","RP","26.5","31","1","0","3.52","1.15","10","22","9","3","26","0","1","0"
"Taijuan Walker","PHI","SP","60.0","44","3","0","4.80","1.38","32","62","22","9","36","4","3","0"
"Angel Zerpa","KC","RP","57.6","49","3","0","3.87","1.31","25","57","19","6","54","0","3","0"
"Mike Burrows","PIT","SP","36.6","33","2","0","4.39","1.34","18","35","14","5","27","2","2","0"
"Ty Madden","DET","SP","31.3","30","1","0","4.25","1.32","15","29","12","4","27","0","1","0"
"Ryan Borucki","PIT","RP","23.8","23","1","0","4.17","1.32","11","22","9","3","23","0","1","0"
"J.T. Ginn","ATH","SP,RP","84.0","64","4","0","4.54","1.38","42","86","30","11","29","13","5","0"
"Daniel Robert","TEX","RP","30.6","31","2","0","4.19","1.31","14","27","12","4","29","0","2","0"
"Ryan Zeferjahn","LAA","RP","56.2","58","2","1","4.46","1.39","28","51","27","8","51","0","3","0"
"Jose Quijada","LAA","RP","55.4","63","3","0","4.12","1.35","25","46","29","7","53","0","3","0"
"Kyle Freeland","COL","SP","150.2","108","7","0","5.06","1.42","84","171","42","25","27","27","11","0"
"Zach Maxwell","CIN","RP","29.8","33","2","0","4.47","1.46","15","27","17","4","29","0","2","0"
"Trevor Stephan","CLE","RP","33.5","36","2","1","3.93","1.27","15","30","12","4","33","0","2","0"
"Daniel Palencia","CHC","RP","34.1","39","2","0","3.90","1.33","15","28","17","4","31","0","2","0"
"Moises Chace","PHI","SP,RP","8.5","9","0","0","4.98","1.55","5","7","6","1","2","2","1","0"
"Jake Bloss","TOR","SP","39.8","33","2","0","4.75","1.39","21","39","16","6","19","6","2","0"
"Joe Rock","TB","SP","26.2","22","1","0","4.18","1.32","12","27","8","3","17","2","1","0"
"Drue Hackenberg","ATL","","7.9","7","0","0","4.56","1.49","4","8","4","1","2","2","0","0"
"Alex Young","CIN","RP","22.3","20","1","0","4.67","1.41","12","23","9","3","22","0","1","0"
"Jhony Brito","SD","RP","46.7","35","3","0","4.24","1.31","22","47","15","6","32","2","3","0"
"Chad Patrick","MIL","","25.5","23","1","0","4.21","1.26","12","25","8","4","24","0","1","0"
"Josh Sborz","TEX","RP","34.9","39","2","2","3.91","1.28","15","30","14","4","33","0","2","0"
"Robby Snelling","MIA","SP","23.2","18","1","0","4.90","1.50","13","25","10","3","5","5","2","0"
"Carson Ragsdale","SF","SP","24.1","25","1","0","4.09","1.30","11","22","9","3","21","1","1","0"
"Austin Gomber","COL","SP","153.2","108","7","0","5.12","1.40","87","172","43","27","28","28","11","0"
"Eiberson Castellano","MIN","RP","34.4","33","2","0","4.22","1.34","16","33","13","4","32","0","2","0"
"John King","STL","RP","60.5","41","3","0","3.81","1.32","26","63","17","5","56","0","3","0"
"Nic Enright","CLE","RP","37.5","39","2","0","3.70","1.19","15","33","12","5","37","0","2","0"
"Emmet Sheehan","LAD","SP","23.8","28","2","0","4.26","1.26","11","18","12","3","9","2","1","0"
"Anthony DeSclafani","","SP","60.1","48","4","0","4.58","1.33","31","64","16","10","13","11","4","0"
"Valente Bellozo","MIA","SP","62.8","46","2","0","4.90","1.40","34","66","22","11","23","9","4","0"
"Dauri Moreta","PIT","RP","34.6","36","2","0","4.01","1.26","15","30","13","4","34","0","2","0"
"Luke Jackson","TEX","RP","52.8","56","3","0","4.00","1.35","23","48","24","6","51","0","2","0"
"Bryan Baker","BAL","RP","45.2","47","2","0","3.98","1.30","20","39","19","5","43","0","2","0"
"Shelby Miller","ARI","RP","51.7","49","3","0","4.27","1.28","25","47","19","6","49","0","3","0"
"Sam Aldegheri","LAA","SP","18.3","17","1","0","4.91","1.48","10","18","9","3","5","3","1","0"
"Alek Manoah","TOR","SP","21.7","21","1","0","4.17","1.26","10","19","8","3","10","3","1","0"
"Alex Faedo","TB","SP,RP","58.5","57","3","0","4.31","1.29","28","54","22","9","46","2","3","0"
"Huascar Brazoban","NYM","RP","47.0","48","2","0","3.99","1.34","21","41","23","5","44","0","2","0"
"Connor Phillips","CIN","SP","21.7","22","1","0","4.68","1.45","11","20","11","3","20","0","1","0"
"Michael Kelly","ATH","RP","24.0","22","1","0","4.32","1.34","11","23","10","3","23","0","1","0"
"Ethan Roberts","CHC","RP","29.2","28","1","0","4.14","1.33","13","27","12","4","28","0","2","0"
"Andrew Morris","MIN","","7.7","6","0","0","4.25","1.26","4","8","2","1","8","0","0","0"
"Zack Kelly","BOS","RP","33.5","35","2","0","4.12","1.36","15","29","16","4","31","0","2","0"
"Ben Casparius","LAD","SP","32.2","32","2","0","4.59","1.39","16","30","15","5","28","0","2","0"
"Josh Winckowski","BOS","SP,RP","56.7","47","3","0","4.01","1.34","25","58","18","6","48","0","3","0"
"Mick Abel","PHI","SP","22.9","21","1","0","4.64","1.45","12","22","12","3","21","0","1","0"
"Kody Funderburk","MIN","RP","43.8","44","2","0","3.84","1.34","19","40","18","4","40","0","2","0"
"Jesse Chavez","TEX","RP","33.0","30","1","0","4.22","1.32","15","32","11","5","29","0","2","0"
"Caleb Kilian","CHC","SP,RP","27.7","22","1","0","4.30","1.36","13","27","10","3","19","2","1","0"
"JT Brubaker","NYY","SP,RP","46.0","43","2","0","4.39","1.31","22","45","16","7","35","2","2","0"
"Brandyn Garcia","SEA","","19.4","18","1","0","4.03","1.31","9","18","8","2","19","0","1","0"
"Kevin Herget","NYM","RP","32.3","29","2","0","4.11","1.23","15","31","9","4","28","0","2","0"
"Hunter Strickland","","RP","43.0","36","2","1","4.50","1.35","21","40","18","6","42","0","2","0"
"Hunter Stratton","PIT","RP","22.0","20","1","0","4.14","1.33","10","20","9","2","21","0","1","0"
"Kaleb Ort","HOU","RP","57.6","60","3","0","4.18","1.31","27","51","24","8","54","0","3","0"
"Carson Seymour","SF","SP","24.2","20","1","0","4.08","1.35","11","24","8","3","21","1","1","0"
"Brent Suter","CIN","RP","62.6","49","3","0","4.35","1.34","30","65","19","9","57","0","3","0"
"Edgardo Henriquez","LAD","RP","28.1","30","1","0","4.22","1.40","13","25","15","3","27","0","1","0"
"Shane Smith","CWS","SP,RP","52.3","50","2","0","4.19","1.32","24","49","20","7","46","1","3","0"
"Austin Warren","NYM","RP","15.1","13","1","0","4.28","1.36","7","14","6","2","14","0","1","0"
"Brooks Raley","","RP","25.1","26","1","1","3.85","1.29","11","22","10","3","25","0","1","0"
"Jose Suarez","LAA","RP","65.8","64","3","0","4.43","1.35","32","64","25","10","47","4","4","0"
"Jaden Hill","COL","RP","35.7","32","2","0","4.73","1.45","19","37","15","5","33","0","2","0"
"Cole Sulser","TB","RP","28.3","27","1","0","4.22","1.34","13","26","12","4","26","0","1","0"
"Jordan Leasure","CWS","RP","56.7","55","2","3","4.58","1.41","29","53","27","8","55","0","4","0"
"Franco Aleman","CLE","RP","30.5","31","2","0","3.91","1.28","13","28","11","4","29","0","2","0"
"Gus Varland","CWS","RP","61.0","57","2","5","4.43","1.40","30","61","24","8","56","0","3","0"
"Chase Lee","DET","","23.4","23","1","0","3.66","1.26","10","22","8","2","23","0","1","0"
"Colton Gordon","HOU","SP","22.9","20","1","0","4.21","1.27","11","22","7","3","15","2","1","0"
"Cionel Perez","BAL","RP","56.1","49","3","0","3.78","1.39","24","52","26","4","56","0","2","0"
"JB Bukauskas","MIL","RP","20.6","20","1","0","4.14","1.39","9","18","10","2","18","0","1","0"
"Brendon Little","TOR","RP","56.1","49","3","0","3.86","1.39","24","52","26","5","55","0","3","0"
"Max Lazar","PHI","RP","43.6","37","2","0","4.11","1.28","20","43","13","5","40","0","2","0"
"Mason Black","SF","SP","43.9","39","2","0","4.38","1.34","21","43","16","6","26","4","3","0"
